,hid,hh_adults,hh_adolescents,hh_child,hh_youngchild,hhcount,hh_hhhjobstatus,hh_hhhjob,hh_hhhage,hh_hhheducation,hh_hhhsleep,hh_numberincome,hh_income,hh_hhnumber,hh_primary,hh_foodmonth,hh_food2weeks,hh_povertystep,hh_rooms,hh_floor,hh_toiletaway,hh_bathwater,hh_lights,hh_food1,hh_food2,hh_food3,hh_food4,hh_food6,hh_food7,hh_food8,hh_food9,hh_food10,hh_marketveg,hh_marketfruit,hh_manureanimal,hh_eating1,hh_hsbill,hh_hsbdiarrh,hh_hsbfever,hh_hsbcough,hh_hsbseverill,hh_andrugadvice,hh_anvac,hh_anabx,new_hhid,geometry
131,HH2897C,6,1,0,1,8,Paid employee ,Unskilled manual ,26.255989048596852,University Diploma/Degree  ,Bed and Matress ,1,80000,Two ,1,Never,Never,3,7,Cement,Wait till I get home ,Tube well / borehole ,"Yes, electric lights ",Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Several times a week ,Several times a week ,Less than once a week ,Several times a week ,Chilimbamarket,Chirimba market,Use it as manure ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Unsure,Unsure,131,POINT (3894573.74849826 -1769974.626853091)
132,HH2252C,1,1,0,0,2,Paid employee ,Domestic service ,71.38398357289527,None ,Cloth / Sack on floor  ,1,40000,One (respondents) ,1,Never,Never,1,2,Tile,Borrow a toilet close by ,Tube well with powered pump ,"Yes, electric lights ",Less than once a week ,Never ,Less than once a week ,Less than once a week ,Daily,Never ,Never ,Never ,Never ,Ngumbe market,,Nothing ,Self-feeding with hands ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals and prevent them from becoming sick ,132,POINT (3898343.408301451 -1771798.059977695)
133,HH211EC,2,0,0,0,2,Self employed ,Skilled manual ,74.21218343600273,PSLC ,Bed and Matress ,1,5000,Two ,0,Often,Often,1,4,Cement,Wait till I get home ,Tube well / borehole ,"Yes, electric lights ",Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Several times a week ,Less than once a week ,Less than once a week ,Never ,About once a week ,Ngumbe market,Ngumbe market,Sweep it into the bush ,Hand feeding (other caregiver) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Cure sick animals ,Cure sick animals ,133,POINT (3895184.428087473 -1767550.570995302)
134,HH211EC,2,0,0,0,2,Self employed ,Skilled manual ,74.21218343600273,PSLC ,Bed and Matress ,1,5000,Two ,0,Often,Often,1,4,Cement,Wait till I get home ,Tube well / borehole ,"Yes, electric lights ",Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Several times a week ,Less than once a week ,Less than once a week ,Never ,About once a week ,Ngumbe market,Ngumbe market,Sweep it into the bush ,Hand feeding (other caregiver) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Cure sick animals ,Cure sick animals ,134,POINT (3896580.982241079 -1767831.103447933)
135,HH279BC,2,0,1,0,3,Self employed ,Sales and service ,34.60917180013689,University Diploma/Degree  ,Bed and Matress ,0,270000,Three ,0,Never,Never,6,10,Cement,Wait till I get home ,Piped outside dwelling ,"Yes, electric lights ",Several times a week ,Never ,Several times a week ,Several times a week ,Several times a week ,Several times a week ,Several times a week ,Several times a week ,Never ,Gumbe,Ngumbe,Sweep it into the bush ,Hand feeding (mother) ,Other hospital (private) ,Other hospital (private) ,Other hospital (private) ,Other hospital (private) ,Other hospital (private) ,My own judgement? ,Prevent animals from becoming sick ,Cure sick animals ,135,POINT (3894735.865378755 -1768128.832280663)
136,HH254TC,2,2,0,0,4,Self employed ,Unskilled manual ,47.67967145790554,None ,Mattress (GRASS) on floor  ,1,26000,Three ,1,Often,Often,1,3,Sand/soil,Borrow a toilet close by ,"Surface water from river, lake or pond ",No,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Never ,About once a week ,10 miles market,10 miles market,Nothing ,Self-feeding with spoon ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Cure sick animals and prevent them from becoming sick ,Cure sick animals and prevent them from becoming sick ,136,POINT (3897100.814032357 -1772000.495894086)
137,HH252XC,2,0,1,1,4,Paid employee ,Skilled manual ,30.72142368240931,MSCE ,Bed and Matress ,1,60000,Three ,0,Sometimes,Never,1,3,Cement,Borrow a toilet close by ,Tube well / borehole ,"Yes, electric lights ",Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Never ,About once a week ,Kameza round about,Kameza round about,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Private pharmacy / drug store ,Private pharmacy / drug store ,Health centre (gov) ,Health centre (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,137,POINT (3895952.04288712 -1768131.562836017)
138,HH2236C,2,1,0,0,3,Paid employee ,Agriculture ,82.48870636550308,MSCE ,Bed and Matress ,2,200000,More than 5,1,Never,Never,3,3,Cement,Borrow a toilet close by ,Piped outside dwelling ,"Yes, electric lights ",Several times a week ,About once a week ,Several times a week ,Less than once a week ,Several times a week ,Never ,About once a week ,Daily,Never ,Ngumbe market,Ngumbe market,Nothing ,Self-feeding with hands ,Private pharmacy / drug store ,Private pharmacy / drug store ,Private pharmacy / drug store ,Private pharmacy / drug store ,Private pharmacy / drug store ,The vets ,Unsure,Unsure,138,POINT (3897699.488497915 -1772109.270758971)
139,HH2500C,2,1,1,0,4,Unemployed ,,27.852156057494867,JCE  ,Bed & Matress (GRASS)  ,1,30000,More than 5,1,Sometimes,Sometimes,2,4,Sand/soil,Borrow a toilet close by ,Tube well / borehole ,No,About once a week ,Never ,About once a week ,Less than once a week ,Several times a week ,Several times a week ,Several times a week ,Never ,About once a week ,10 miles market,10 miles market,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,139,POINT (3897190.87441936 -1770952.581149954)
140,HH262TC,2,0,0,0,2,Unemployed ,,28.960985626283367,PSLC ,Mattress on floor  ,1,30000,One (respondents) ,0,Never,Never,3,3,Cement,Borrow a toilet close by ,Tube well / borehole ,No,About once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Daily,Never ,About once a week ,Never ,Several times a week ,Ngumbe market,Ngumbe market,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Referral Hospital (QECH) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,140,POINT (3895112.909110608 -1769106.838797109)
141,HH211EC,2,0,0,0,2,Self employed ,Skilled manual ,74.21218343600273,PSLC ,Bed and Matress ,1,5000,Two ,0,Often,Often,1,4,Cement,Wait till I get home ,Tube well / borehole ,"Yes, electric lights ",Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Several times a week ,Less than once a week ,Less than once a week ,Never ,About once a week ,Ngumbe market,Ngumbe market,Sweep it into the bush ,Hand feeding (other caregiver) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Cure sick animals ,Cure sick animals ,141,POINT (3896963.924454483 -1771933.486443994)
142,HH2332C,4,2,0,0,6,Paid employee ,Clerical Technical / managerial ,42.74880219028063,MSCE ,Bed and Matress ,3,350000,One (respondents) ,1,Sometimes,Never,3,5,Cement,Borrow a toilet close by ,Public tap / Standpipe ,"Yes, electric lights ",Less than once a week ,About once a week ,Less than once a week ,Less than once a week ,Several times a week ,Less than once a week ,Daily,Daily,About once a week ,Mobile women selling vegetables,Kameza roundabout,Nothing ,Self-feeding with spoon ,Other hospital (private) ,Private pharmacy / drug store ,Health centre (gov) ,Other hospital (private) ,Other hospital (private) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,142,POINT (3897543.976925316 -1770768.590930095)
143,HH274LC,3,0,0,0,3,Self employed ,Agriculture ,69.37440109514031,PSLC ,Cloth / Sack on floor  ,1,10000,More than 5,0,Sometimes,Sometimes,1,3,Cement,Borrow a toilet close by ,Tube well / borehole ,No,About once a week ,Never ,About once a week ,Never ,Never ,Several times a week ,Several times a week ,Never ,Several times a week ,,Lunzu market,Use it as manure ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Unsure,Unsure,143,POINT (3897317.376191451 -1771589.20999634)
144,HH262TC,2,0,0,0,2,Unemployed ,,28.960985626283367,PSLC ,Mattress on floor  ,1,30000,One (respondents) ,0,Never,Never,3,3,Cement,Borrow a toilet close by ,Tube well / borehole ,No,About once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Daily,Never ,About once a week ,Never ,Several times a week ,Ngumbe market,Ngumbe market,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Referral Hospital (QECH) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,144,POINT (3895742.499171804 -1769084.434089588)
145,HH285FC,2,3,1,0,6,Self employed ,Skilled manual ,41.15537303216975,MSCE ,Bed and Matress ,1,100000,Two ,2,Never,Never,3,5,Cement,Wait till I get home ,Public tap / Standpipe ,"Yes, electric lights ",Several times a week ,Never ,About once a week ,Less than once a week ,Less than once a week ,Several times a week ,About once a week ,Less than once a week ,Several times a week ,Chatha market,Chatha market,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Unsure,Unsure,145,POINT (3895420.101228529 -1767284.129527369)
146,HH2236C,2,1,0,0,3,Paid employee ,Agriculture ,82.48870636550308,MSCE ,Bed and Matress ,2,200000,More than 5,1,Never,Never,3,3,Cement,Borrow a toilet close by ,Piped outside dwelling ,"Yes, electric lights ",Several times a week ,About once a week ,Several times a week ,Less than once a week ,Several times a week ,Never ,About once a week ,Daily,Never ,Ngumbe market,Ngumbe market,Nothing ,Self-feeding with hands ,Private pharmacy / drug store ,Private pharmacy / drug store ,Private pharmacy / drug store ,Private pharmacy / drug store ,Private pharmacy / drug store ,The vets ,Unsure,Unsure,146,POINT (3898325.660757776 -1771806.979382075)
147,HH249NC,6,1,1,0,8,Self employed ,Sales and service ,55.893223819301845,JCE  ,Bed and Matress ,2,150000,One (respondents) ,1,Never,Never,4,6,Cement,Wait till I get home ,Piped into dwelling ,"Yes, electric lights ",Several times a week ,Never ,Less than once a week ,About once a week ,Less than once a week ,Several times a week ,Several times a week ,Less than once a week ,Never ,Chatha market,Chatha market,Sweep it into the bush ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,147,POINT (3896931.839561058 -1771988.044435906)
148,HH2244C,2,2,0,0,4,Paid domestic worker ,Domestic service ,34.97056810403833,JCE  ,Mattress on floor  ,1,53000,Two ,2,Never,Never,1,2,Cement,Use public toilet ,Piped into dwelling ,"Yes, electric lights ",About once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Several times a week ,Several times a week ,Several times a week ,Several times a week ,Less than once a week ,Chirimba market,Chirimba market,Put it in the refuse pit ,Self-feeding with hands ,Private pharmacy / drug store ,Private pharmacy / drug store ,Private pharmacy / drug store ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Prevent animals from becoming sick ,Cure sick animals ,148,POINT (3895250.205421675 -1768129.750572375)
149,HH2412C,1,2,0,0,3,Unemployed ,,50.43668720054757,None ,Mattress (GRASS) on floor  ,1,30000,Three ,1,Always,Always,1,4,Sand/soil,Borrow a toilet close by ,Tube well / borehole ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Daily,Never ,Several times a week ,Never ,About once a week ,Pa 10 miles,Pa 10 miles,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals and prevent them from becoming sick ,149,POINT (3896914.493034759 -1768707.729206282)
150,HH255RC,2,1,0,0,3,Self employed ,Sales and service ,57.14168377823409,JCE  ,Bed and Matress ,1,70000,Four ,1,Often,Often,3,4,Cement,Borrow a toilet close by ,Tube well / borehole ,"Yes, electric lights ",About once a week ,About once a week ,About once a week ,About once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Several times a week ,Several times a week ,Ngumbe market,Ngumbe market,Use it as manure ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Prevent animals from becoming sick ,Cure sick animals ,150,POINT (3895486.55896452 -1768582.216208087)
151,HH285FC,2,3,1,0,6,Self employed ,Skilled manual ,41.15537303216975,MSCE ,Bed and Matress ,1,100000,Two ,2,Never,Never,3,5,Cement,Wait till I get home ,Public tap / Standpipe ,"Yes, electric lights ",Several times a week ,Never ,About once a week ,Less than once a week ,Less than once a week ,Several times a week ,About once a week ,Less than once a week ,Several times a week ,Chatha market,Chatha market,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Unsure,Unsure,151,POINT (3896928.641439829 -1767794.791290382)
152,HH274LC,3,0,0,0,3,Self employed ,Agriculture ,69.37440109514031,PSLC ,Cloth / Sack on floor  ,1,10000,More than 5,0,Sometimes,Sometimes,1,3,Cement,Borrow a toilet close by ,Tube well / borehole ,No,About once a week ,Never ,About once a week ,Never ,Never ,Several times a week ,Several times a week ,Never ,Several times a week ,,Lunzu market,Use it as manure ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Unsure,Unsure,152,POINT (3896209.33207651 -1769752.010113845)
153,HH221AC,2,2,0,0,4,Self employed ,Skilled manual ,44.27378507871321,PSLC ,Mattress (GRASS) on floor  ,1,30000,More than 5,2,Sometimes,Never,4,3,Cement,Wait till I get home ,Tube well / borehole ,No,About once a week ,Never ,Less than once a week ,About once a week ,Daily,About once a week ,Less than once a week ,Never ,Daily,Mobile market,Kameza roundabout,Nothing ,Self-feeding with spoon ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,153,POINT (3895537.342916231 -1767296.651201659)
154,HH2977C,2,0,0,0,2,Paid employee ,Unskilled manual ,40.54209445585216,PSLC ,Bed and Matress ,1,45000,Four ,0,Never,Never,2,2,Cement,Wait till I get home ,Tube well / borehole ,No,Less than once a week ,Never ,About once a week ,Less than once a week ,About once a week ,Several times a week ,About once a week ,Less than once a week ,Several times a week ,Ngumbe market,Ngumbe market,Use it as manure ,Other,Health centre (gov) ,Private pharmacy / drug store ,Private pharmacy / drug store ,Private pharmacy / drug store ,Health centre (gov) ,My own judgement? ,Unsure,Unsure,154,POINT (3897173.049250055 -1771409.143634689)
155,HH293FC,3,1,0,0,4,Self employed ,Skilled manual ,54.41478439425051,MSCE ,Bed and Matress ,1,100000,Two ,1,Never,Never,4,7,Cement,Wait till I get home ,Tube well / borehole ,No,About once a week ,Never ,About once a week ,About once a week ,Less than once a week ,Several times a week ,Several times a week ,Less than once a week ,About once a week ,Ngumbe market,Ngumbe market,Use it as manure ,Hand feeding (mother) ,Other hospital (private) ,Other hospital (private) ,Health centre (gov) ,Other hospital (private) ,Health centre (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,155,POINT (3895727.948280878 -1768990.289644632)
156,HH287BC,1,1,1,0,3,Self employed ,Sales and service ,32.049281314168375,JCE  ,Mattress on floor  ,1,15000,More than 5,1,Often,Often,2,5,Sand/soil,Borrow a toilet close by ,Tube well / borehole ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Several times a week ,Several times a week ,Never ,Several times a week ,Lunzu  market,Lunzu  market,Nothing ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,156,POINT (3896101.031421761 -1770048.083182761)
157,HH2420C,2,3,1,0,6,Self employed ,Skilled manual ,63.252566735112936,PSLC ,Bed and Matress ,2,30000,One (respondents) ,3,Never,Never,2,4,Cement,Borrow a toilet close by ,Tube well / borehole ,No,Less than once a week ,Never ,About once a week ,Less than once a week ,Daily,Less than once a week ,Less than once a week ,Never ,Several times a week ,Chirimba market,Chirimba market,Use it as manure ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Farmers or other households ,Prevent animals from becoming sick ,Cure sick animals ,157,POINT (3896103.4459004 -1769675.307257491)
158,HH202GC,4,2,0,1,7,Unemployed ,,65.74948665297741,MSCE ,Bed and Matress ,1,150000,One (respondents) ,1,Never,Never,3,6,Cement,Use public toilet ,Piped into dwelling ,"Yes, electric lights ",About once a week ,Never ,About once a week ,Never ,Several times a week ,Several times a week ,About once a week ,Less than once a week ,About once a week ,Ngumbe market,Ngumbe market,Put it in the refuse pit ,Hand feeding (other caregiver) ,Health centre (gov) ,Health centre (gov) ,Private pharmacy / drug store ,Health centre (gov) ,Health centre (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,158,POINT (3896844.58822586 -1769881.899847022)
159,HH2404C,3,0,0,0,3,Self employed ,Sales and service ,53.78507871321013,MSCE ,Bed and Matress ,2,70000,One (respondents) ,0,Never,Never,4,9,Cement,Use public toilet ,Piped into dwelling ,"Yes, electric lights ",Never ,Never ,Several times a week ,Several times a week ,Several times a week ,Several times a week ,Less than once a week ,Less than once a week ,Never ,Ndirande market,Ndirande market,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Prevent animals from becoming sick ,Cure sick animals ,159,POINT (3896845.467566186 -1769271.16617757)
160,HH255RC,2,1,0,0,3,Self employed ,Sales and service ,57.14168377823409,JCE  ,Bed and Matress ,1,70000,Four ,1,Often,Often,3,4,Cement,Borrow a toilet close by ,Tube well / borehole ,"Yes, electric lights ",About once a week ,About once a week ,About once a week ,About once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Several times a week ,Several times a week ,Ngumbe market,Ngumbe market,Use it as manure ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Prevent animals from becoming sick ,Cure sick animals ,160,POINT (3895990.552393164 -1770152.737767166)
161,HH2969C,2,0,0,0,2,Self employed ,Skilled manual ,40.73100616016427,PSLC ,Cloth / Sack on floor  ,1,30000,One (respondents) ,0,Sometimes,Sometimes,2,2,Cement,Borrow a toilet close by ,Tube well / borehole ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Several times a week ,About once a week ,Less than once a week ,Several times a week ,Chirimba market,Chirimba market,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Unsure,Unsure,161,POINT (3896712.156447294 -1769942.546079492)
162,HH2180C,2,1,2,0,5,Paid employee ,Skilled manual ,47.252566735112936,PSLC ,Mattress on floor  ,2,30000,One (respondents) ,1,Often,Often,2,6,Cement,Borrow a toilet close by ,Piped outside dwelling ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Daily,Never ,Never ,Never ,Several times a week ,Mobile women selling vegetables,,Nothing ,Self-feeding with hands ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Cure sick animals ,Cure sick animals ,162,POINT (3898059.592108756 -1771789.042954026)
163,HH2308C,2,2,2,0,6,Unemployed ,,81.782340862423,PSLC ,Bed & Matress (GRASS)  ,1,70000,Three ,3,Often,Often,1,3,Cement,Borrow a toilet close by ,Tube well / borehole ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Several times a week ,Less than once a week ,Less than once a week ,Never ,Daily,Pa 10 MILES,Pa 10 Miles,Nothing ,Hand feeding (other caregiver) ,Health centre (gov) ,Private pharmacy / drug store ,Private pharmacy / drug store ,Health centre (gov) ,Health centre (gov) ,The vets ,Unsure,Unsure,163,POINT (3897823.327621474 -1770622.182981084)
164,HH213AC,3,3,0,0,6,Paid employee ,Clerical Technical / managerial ,41.75496235455168,MSCE ,Bed and Matress ,2,150000,One (respondents) ,2,Never,Never,4,5,Cement,Wait till I get home ,Piped outside dwelling ,"Yes, electric lights ",Several times a week ,Never ,Several times a week ,Several times a week ,Daily,Never ,Daily,Never ,Never ,Pa 10 miles market,Pa 10 MILES Market,Sweep it into the bush ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Cure sick animals ,Cure sick animals ,164,POINT (3896101.275802047 -1769378.679714312)
165,HH212CC,2,2,1,0,5,Paid employee ,Skilled manual ,24.216290212183434,PSLC ,Mattress (GRASS) on floor  ,2,30000,More than 5,0,Often,Often,2,3,Sand/soil,Use public toilet ,Tube well / borehole ,No,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Several times a week ,Less than once a week ,Less than once a week ,Never ,Daily,Chatha market,Chatha market,Use it as manure ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Farmers or other households ,Cure sick animals and prevent them from becoming sick ,Cure sick animals and prevent them from becoming sick ,165,POINT (3895769.755749104 -1767708.141624683)
166,HH2969C,2,0,0,0,2,Self employed ,Skilled manual ,40.73100616016427,PSLC ,Cloth / Sack on floor  ,1,30000,One (respondents) ,0,Sometimes,Sometimes,2,2,Cement,Borrow a toilet close by ,Tube well / borehole ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Several times a week ,About once a week ,Less than once a week ,Several times a week ,Chirimba market,Chirimba market,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Unsure,Unsure,166,POINT (3894054.549287703 -1768122.20879056)
167,HH2076C,4,0,4,1,9,Self employed ,Unskilled manual ,24.043805612594113,PSLC ,Bed & Matress (GRASS)  ,2,70000,One (respondents) ,0,Sometimes,Sometimes,2,5,Cement,Borrow a toilet close by ,Piped outside dwelling ,No,Less than once a week ,Less than once a week ,Several times a week ,Less than once a week ,Daily,Daily,Several times a week ,Several times a week ,About once a week ,Kameza,Kameza,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Unsure,Unsure,167,POINT (3897225.291487076 -1772379.045922441)
168,HH253VC,2,2,1,1,6,Paid employee ,Clerical Technical / managerial ,47.51266255989049,PSLC ,Mattress (GRASS) on floor  ,1,30000,Two ,3,Often,Often,1,3,Sand/soil,Borrow a toilet close by ,"Surface water from river, lake or pond ",No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,About once a week ,Never ,Less than once a week ,Ngumbe market,Ngumbe market,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Prevent animals from becoming sick ,Fattening / increased growth ,168,POINT (3897899.170644635 -1771628.510659302)
169,HH252XC,2,0,1,1,4,Paid employee ,Skilled manual ,30.72142368240931,MSCE ,Bed and Matress ,1,60000,Three ,0,Sometimes,Never,1,3,Cement,Borrow a toilet close by ,Tube well / borehole ,"Yes, electric lights ",Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Never ,About once a week ,Kameza round about,Kameza round about,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Private pharmacy / drug store ,Private pharmacy / drug store ,Health centre (gov) ,Health centre (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,169,POINT (3896412.019117231 -1769430.167492818)
170,HH228XC,4,0,0,0,4,Self employed ,Agriculture ,55.80287474332649,PSLC ,Bed & Matress (GRASS)  ,1,30000,Two ,0,Never,Never,2,4,Cement,Borrow a toilet close by ,Tube well / borehole ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Never ,About once a week ,Less than once a week ,Never ,About once a week ,,Farmers cooperatives market,Use it as manure ,Hand feeding (other caregiver) ,Health centre (gov) ,Health centre (gov) ,Private pharmacy / drug store ,Health centre (gov) ,Health centre (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,170,POINT (3897488.104452239 -1772351.78733078)
171,HH2977C,2,0,0,0,2,Paid employee ,Unskilled manual ,40.54209445585216,PSLC ,Bed and Matress ,1,45000,Four ,0,Never,Never,2,2,Cement,Wait till I get home ,Tube well / borehole ,No,Less than once a week ,Never ,About once a week ,Less than once a week ,About once a week ,Several times a week ,About once a week ,Less than once a week ,Several times a week ,Ngumbe market,Ngumbe market,Use it as manure ,Other,Health centre (gov) ,Private pharmacy / drug store ,Private pharmacy / drug store ,Private pharmacy / drug store ,Health centre (gov) ,My own judgement? ,Unsure,Unsure,171,POINT (3896561.057455539 -1770187.289165136)
172,HH2985C,5,0,0,2,7,Paid employee ,Skilled manual ,24.39425051334702,MSCE ,Cloth / Sack on floor  ,1,50000,Three ,1,Sometimes,Sometimes,2,3,Cement,Wait till I get home ,Tube well / borehole ,No,Less than once a week ,Never ,About once a week ,About once a week ,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Several times a week ,Ngumbe market,Ngumbe market,Use it as manure ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Unsure,Unsure,172,POINT (3897005.207287823 -1768100.867621539)
173,HH202GC,4,2,0,1,7,Unemployed ,,65.74948665297741,MSCE ,Bed and Matress ,1,150000,One (respondents) ,1,Never,Never,3,6,Cement,Use public toilet ,Piped into dwelling ,"Yes, electric lights ",About once a week ,Never ,About once a week ,Never ,Several times a week ,Several times a week ,About once a week ,Less than once a week ,About once a week ,Ngumbe market,Ngumbe market,Put it in the refuse pit ,Hand feeding (other caregiver) ,Health centre (gov) ,Health centre (gov) ,Private pharmacy / drug store ,Health centre (gov) ,Health centre (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,173,POINT (3898178.678833922 -1772232.987356711)
174,HH265NC,4,2,0,0,6,Other,Clerical Technical / managerial ,63.39219712525667,University Diploma/Degree  ,Bed and Matress ,3,100000,One (respondents) ,2,Never,Never,2,6,Cement,Borrow a toilet close by ,Piped into dwelling ,"Yes, electric lights ",About once a week ,Never ,About once a week ,Less than once a week ,Daily,Less than once a week ,About once a week ,Less than once a week ,Less than once a week ,Chatha market,Chatha market,Use it as manure ,Hand feeding (mother) ,Private pharmacy / drug store ,Private pharmacy / drug store ,Private pharmacy / drug store ,Private pharmacy / drug store ,Private pharmacy / drug store ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,174,POINT (3896231.733167981 -1769090.287795045)
